ph,hardness,tds,chlorine,sulfate,conductivity,organic_carbon,trihalomethanes,turbidity,potability
7.81,437.4,332.09,2.96,74.78,512.15,4.02,129.62,0.97,0
7.14,28.11,940.91,4.34,279.53,1508.58,11.62,53.51,2.62,0
6.75,19.28,360.57,4.49,271.83,2169.82,11.67,26.17,0.68,0
7.47,102.17,334.34,1.37,233.95,2780.57,9.84,59.17,1.93,0
8.45,394.35,306.75,3.86,261.59,580.05,16.81,13.68,10.29,0
,62.62,279.53,0.84,175.59,2314.03,1.33,76.84,12.69,0
7.53,373.8,891.75,4.47,592.41,1384.03,13.62,49.19,2.03,0
7.47,90.82,140.41,3.58,713.45,2792.53,0.45,38.76,8.94,0
,84.68,123.61,2.75,262.11,2111.93,5.31,70.33,2.62,0
7.05,200.15,347.3,2.93,7.98,2502.32,9.49,1.99,0.43,0
6.4,387.67,343.64,1.2,308.91,226.19,10.2,43.25,2.42,0
7.44,606.67,209.07,3.24,265.92,1065.1,9.3,42.13,0.48,0
6.31,115.27,12.99,2.25,46.89,352.51,5.26,112.39,1.6,0
9.78,241.0,98.13,2.9,372.03,424.49,6.3,63.9,4.96,0
8.0,267.86,906.44,1.7,120.52,2200.9,3.96,113.74,1.53,0
6.6,347.68,341.69,2.36,84.2,2639.92,9.37,23.18,4.45,0
6.67,81.17,5.1,0.06,122.55,226.91,9.83,26.19,3.63,0
7.73,267.53,203.03,4.0,523.6,168.62,5.55,39.39,3.23,0
8.76,937.18,209.82,1.5,88.17,1853.51,8.44,220.46,0.32,0
7.81,59.72,306.46,0.14,189.6,1703.61,10.38,34.47,1.37,0
7.23,69.71,910.94,4.26,208.8,410.6,0.33,62.51,2.83,0
6.98,276.65,1072.27,3.92,135.01,147.45,4.23,34.43,9.24,0
8.47,434.33,82.54,6.17,206.21,111.55,4.33,23.21,5.35,0
6.33,185.77,277.13,2.92,98.87,1286.95,7.34,118.82,1.02,0
5.19,96.65,206.34,3.6,82.01,2699.97,9.51,113.7,2.62,0
7.21,78.5,280.23,1.72,233.5,1721.14,10.87,50.49,1.36,0
8.25,86.14,375.72,2.61,445.11,227.15,2.24,127.68,3.04,0
5.23,930.29,911.91,2.24,756.16,2703.36,4.04,7.08,1.56,0
6.5,321.88,256.9,2.87,173.04,158.85,6.37,107.71,2.98,0
6.1,144.67,105.0,4.1,172.36,1270.79,9.82,120.79,0.79,0
6.85,108.77,1052.59,1.6,254.82,2607.8,5.64,76.76,4.63,0
6.41,149.92,133.4,1.37,169.82,1635.38,6.32,68.86,2.36,1
6.34,343.71,313.5,0.53,188.83,2388.53,5.07,54.77,1.16,0
8.37,289.36,61.74,0.04,7.62,2373.41,11.84,104.39,4.87,0
6.87,160.0,228.3,2.04,283.61,2227.58,8.99,115.32,1.42,0
7.18,447.3,77.83,0.83,62.09,396.69,7.32,75.33,1.66,0
7.2,833.53,294.29,1.09,209.28,2788.48,11.72,88.92,3.11,0
7.2,44.27,943.31,3.82,222.27,24.04,2.81,164.26,1.64,0
7.29,312.82,180.13,4.97,527.68,2694.09,7.9,25.29,4.61,0
6.86,673.87,213.75,3.92,269.96,892.17,11.31,21.46,3.89,0
9.23,917.89,138.72,1.94,139.58,841.56,2.18,45.09,1.6,0
6.13,54.66,930.66,0.09,209.15,533.13,7.32,80.67,1.21,0
7.33,226.36,283.37,2.59,282.7,2465.82,14.32,1.92,3.11,0
6.77,377.38,194.0,0.44,210.94,1554.13,2.49,71.12,3.8,1
6.95,296.98,80.17,0.44,95.24,2588.92,11.16,52.19,4.9,0
6.26,236.5,1047.8,2.6,148.66,2054.39,2.21,59.54,3.05,0
6.03,122.62,756.99,1.97,280.15,382.19,2.09,199.36,1.33,0
9.28,81.72,262.95,3.48,229.43,1225.82,5.88,65.48,1.29,0
6.3,619.89,343.54,0.67,130.02,1740.49,5.04,36.0,0.12,0
6.2,670.58,95.78,2.2,167.47,2207.03,7.23,50.03,2.73,0
7.78,44.62,171.94,2.72,744.01,620.13,9.25,1.85,2.14,0
6.35,327.54,242.36,3.78,260.75,560.36,10.26,46.38,1.56,0
7.55,299.95,295.84,4.48,276.1,1777.29,10.83,65.2,4.22,0
7.36,197.18,934.76,4.04,397.34,1587.93,7.91,114.61,4.51,0
7.24,509.44,258.91,3.24,768.89,751.64,9.5,97.61,3.14,0
6.19,400.72,261.2,2.26,301.69,2386.9,9.9,16.09,1.57,0
5.42,114.83,96.59,0.9,33.6,2098.85,6.04,13.34,1.18,0
7.03,314.95,244.36,3.12,324.13,2601.97,4.56,5.36,4.99,0
7.55,131.88,342.08,3.97,57.06,2540.91,4.61,159.04,4.05,0
6.62,81.55,955.74,3.69,233.48,2433.08,7.65,70.28,1.18,0
7.67,149.58,61.26,1.56,433.77,357.02,10.29,75.61,3.63,0
8.15,138.38,197.53,0.93,366.17,1934.77,8.51,27.76,1.14,0
7.42,889.03,,2.43,279.99,2652.6,0.69,141.51,3.28,0
5.61,436.66,270.65,2.65,221.88,1832.73,5.28,109.0,1.26,0
7.72,58.68,265.77,3.88,398.47,278.45,6.54,40.37,2.12,0
9.6,245.73,1040.15,3.32,780.43,689.32,2.89,13.42,4.42,0
7.85,200.85,618.32,0.64,74.48,1968.79,9.8,26.05,0.8,0
6.16,107.95,255.0,0.99,266.37,237.95,10.94,32.04,12.5,0
9.25,282.46,65.73,1.12,134.17,1126.85,11.06,20.04,2.1,0
6.2,381.14,236.98,0.93,505.16,88.99,5.66,40.76,0.15,0
5.99,341.07,23.6,4.21,330.43,17102.59,6.52,79.25,5.1,0
8.36,149.46,186.59,3.97,261.67,2465.48,3.45,4.27,1.02,0
8.36,294.32,966.77,8.54,,310.77,7.03,40.51,2.33,0
7.12,174.83,277.38,2.2,107.1,437.14,4.57,77.8,4.59,1
5.26,125.78,206.52,3.47,257.31,466.81,11.79,50.0,1.51,0
6.9,94.19,292.77,3.49,85.94,2366.84,11.97,46.66,11.92,0
8.31,374.63,194.02,3.14,261.14,316.95,6.54,43.5,1.3,1
7.9,335.72,370.47,2.81,340.02,877.15,9.55,55.33,1.41,0
8.14,115.29,935.74,2.15,76.19,1134.11,3.25,123.34,1.77,0
6.08,319.53,157.8,3.44,527.79,2797.89,5.07,5.17,12.1,0
,160.65,143.57,2.77,203.41,54.58,5.77,118.44,4.15,0
7.46,361.76,349.36,1.53,349.6,563.54,6.77,117.82,0.1,0
6.24,163.63,1094.54,1.8,433.69,2699.96,5.41,15.39,1.5,0
8.49,331.65,65.1,1.77,240.89,1960.79,5.68,49.03,1.22,0
6.71,373.45,843.88,1.35,112.29,839.18,0.04,8.36,13.08,0
7.41,155.74,794.59,3.72,90.13,2760.93,11.31,196.53,1.7,0
7.97,1000.71,626.38,2.53,273.98,517.83,1.35,56.09,1.74,0
6.19,868.36,246.87,1.83,14.9,299.98,8.77,101.02,2.1,0
8.25,313.96,266.48,1.31,355.55,280.36,9.42,55.92,2.81,0
6.0,251.51,812.56,3.98,250.32,2550.39,9.06,88.49,3.51,0
5.69,441.16,80.75,8.03,264.54,436.65,16.37,111.55,5.69,0
7.92,283.19,61.18,4.09,418.33,985.17,6.51,9.93,3.4,0
7.57,274.71,750.81,4.47,384.47,2268.88,11.93,30.88,1.92,0
7.17,124.92,985.8,2.91,131.96,2117.56,10.4,218.75,8.51,0
5.92,267.44,241.06,4.13,207.01,2203.18,4.84,106.35,1.65,0
6.72,202.92,833.67,0.12,50.02,1891.0,11.66,59.09,1.88,0
7.24,393.56,252.16,3.25,69.08,1735.17,10.89,97.07,2.2,0
7.68,251.74,842.25,3.17,28.98,1635.89,4.26,75.08,1.93,0
6.07,114.66,122.08,2.58,139.9,542.49,0.98,73.91,1.54,1
8.25,417.61,120.28,3.9,152.84,6687.16,0.48,148.51,6.2,0
6.43,575.16,396.47,1.55,290.04,312.19,8.8,102.48,0.66,0
7.99,359.25,210.22,3.13,348.25,630.44,11.2,7.09,1.34,0
9.67,435.08,840.26,4.4,259.6,1381.32,6.6,52.88,1.55,0
6.5,61.07,257.21,3.37,67.6,1932.3,6.94,146.75,2.02,0
7.68,423.92,317.08,3.63,321.64,1982.21,1.37,82.14,2.2,0
6.2,380.4,274.87,6.5,50.67,2671.37,2.61,84.24,2.18,0
7.77,153.85,109.7,1.5,162.33,1695.76,8.78,117.06,12.94,0
7.44,341.66,727.95,0.97,348.52,2578.62,7.52,43.95,1.51,0
6.51,181.93,292.1,3.0,368.39,501.59,2.54,62.13,0.52,0
6.02,89.53,507.59,1.89,88.95,2058.62,9.31,94.56,0.56,0
7.15,40.1,1012.71,2.5,100.29,94.39,9.6,117.32,3.84,0
7.89,297.77,856.49,4.35,212.7,853.87,8.65,52.39,1.9,0
6.84,121.74,109.27,1.19,95.48,2266.81,4.1,48.4,10.11,0
6.94,61.21,110.71,2.4,136.19,2409.4,8.19,86.83,0.54,0
6.37,889.6,210.37,4.33,170.0,1020.5,16.38,67.95,0.19,0
6.06,201.34,158.38,0.55,312.54,255.3,2.91,125.37,2.59,0
7.72,123.17,971.56,2.98,88.12,,0.52,44.48,2.71,0
8.4,384.98,543.39,3.03,265.36,22.08,4.76,55.39,2.92,0
6.26,195.72,299.36,2.01,103.76,598.33,11.69,107.82,4.65,0
6.45,364.32,,4.46,,806.43,10.99,17.42,6.76,0
9.15,369.61,207.45,1.2,659.21,1306.1,17.01,44.03,2.59,0
7.96,314.72,1064.03,0.47,359.63,2637.96,16.17,116.39,4.27,0
7.61,153.22,840.12,2.0,778.08,2140.64,11.76,81.83,1.22,0
6.19,389.64,127.26,1.13,90.55,308.04,0.44,17.77,1.91,1
,120.31,66.29,0.06,71.56,2533.12,0.88,120.11,5.41,0
5.86,604.96,178.49,3.18,,676.71,1.81,116.76,1.23,0
7.15,137.3,727.87,1.89,135.49,13.9,2.9,9.6,1.79,0
7.64,347.15,61.24,3.87,744.81,570.21,9.23,30.82,2.48,0
7.22,233.12,434.23,8.82,309.77,921.02,7.02,23.08,6.69,0
8.29,227.17,98.78,2.17,223.57,954.97,0.87,58.73,3.37,1
6.52,332.2,388.62,1.9,446.85,819.56,7.79,161.1,5.32,0
8.83,379.41,135.82,0.89,285.94,1064.51,9.57,83.0,4.68,0
8.21,158.5,328.14,2.04,383.26,1574.25,5.96,91.37,3.1,0
6.61,41.18,379.57,6.13,129.22,1886.08,9.02,33.61,1.17,0
7.45,441.29,348.99,1.35,105.3,662.66,8.97,70.75,0.51,0
9.3,119.16,144.19,2.09,199.21,2774.75,5.44,28.49,1.66,0
7.61,609.67,195.1,4.49,588.58,29338.82,10.6,73.19,1.74,0
9.26,381.75,392.57,0.28,171.19,1136.04,11.99,40.85,5.06,0
6.41,747.09,136.15,3.85,272.4,583.15,8.97,10.38,4.47,0
7.94,51.65,373.0,3.24,321.78,2549.7,4.05,70.5,0.53,0
8.43,174.42,388.56,1.77,152.07,278.59,10.68,96.43,1.61,0
8.2,255.72,306.6,3.48,344.21,33668.56,11.32,64.61,4.49,0
5.71,120.64,858.16,4.13,339.88,86.94,7.91,25.36,0.37,0
6.9,192.25,65.19,0.99,100.1,471.0,16.39,35.72,1.56,0
9.73,1069.18,306.71,4.0,271.67,403.88,10.0,83.97,3.82,0
6.3,420.9,243.23,3.84,184.71,2736.0,9.23,209.19,4.34,0
6.85,113.74,766.99,2.82,396.25,15712.38,9.58,73.2,0.79,0
6.49,957.74,154.62,8.69,47.67,827.65,5.13,11.59,1.42,0
8.42,139.85,263.56,0.8,191.12,,4.19,125.02,1.84,0
7.86,377.56,349.65,1.85,250.41,1577.71,7.66,54.33,3.6,1
7.61,230.89,161.46,1.88,571.42,1523.35,6.38,8.65,4.33,0
8.03,413.94,78.85,1.38,92.69,1524.78,2.88,1.94,4.85,0
6.44,1094.48,272.15,2.13,96.7,1259.69,6.2,185.85,3.39,0
6.28,117.35,269.63,1.05,274.64,612.94,10.91,121.66,1.41,0
6.0,98.89,556.38,0.5,137.35,1753.01,6.72,94.12,3.98,0
6.12,439.54,276.81,2.66,290.6,740.44,10.61,74.86,4.27,0
6.76,108.61,92.37,2.05,100.1,11.22,5.51,84.13,3.75,0
5.07,447.2,246.99,0.28,145.95,856.31,5.19,122.31,1.35,0
8.52,96.11,316.29,0.33,133.1,660.65,9.73,96.93,0.75,0
7.48,103.32,366.95,1.69,89.21,2057.35,5.55,88.23,1.98,0
7.41,214.4,84.83,1.79,455.68,145.31,7.88,93.84,2.11,0
7.89,154.21,364.67,4.35,561.09,1587.95,4.05,101.75,4.64,0
7.47,258.26,317.36,1.47,394.43,670.15,10.73,83.74,2.75,0
6.55,340.18,,0.42,147.15,2438.74,4.44,116.08,3.79,0
7.42,99.86,,0.91,123.0,1135.07,5.76,185.66,5.14,0
6.41,347.05,115.61,3.24,110.97,2037.03,7.99,118.6,3.32,0
6.84,105.32,303.17,0.55,394.12,1868.13,11.15,100.36,5.45,0
8.03,345.09,208.81,2.77,181.38,1343.84,10.48,83.25,5.38,0
6.66,778.01,215.85,3.16,133.49,2462.88,4.73,225.63,4.4,0
9.89,41.67,790.28,4.0,388.21,1250.65,7.41,32.31,1.54,0
8.4,378.98,894.58,2.32,245.35,844.5,2.54,18.43,13.99,0
8.17,423.18,772.65,0.72,246.28,1658.95,9.99,71.88,8.9,0
9.7,251.2,210.33,0.82,163.1,2374.52,8.61,103.18,5.08,0
7.23,848.67,74.95,1.99,329.64,765.23,8.4,123.57,1.72,0
8.02,318.63,188.37,1.52,333.32,109.17,6.56,2.19,3.9,1
6.14,343.5,153.07,1.7,398.91,236.38,11.44,95.65,3.49,0
7.54,76.82,290.95,2.42,190.22,2175.09,5.42,9.84,0.29,0
7.79,56.01,878.04,3.26,201.22,2285.02,6.01,69.82,4.75,0
7.26,705.95,112.4,0.11,333.96,1399.78,1.2,40.53,5.38,0
9.66,265.98,129.19,8.27,300.36,904.45,6.15,103.73,1.3,0
6.69,864.81,107.45,3.07,306.88,32.4,6.92,75.97,2.31,0
8.04,208.32,179.55,0.38,373.1,1641.23,10.31,125.38,1.8,0
5.56,349.88,1008.37,3.87,356.85,36339.56,11.21,48.29,2.93,0
6.74,980.94,136.13,2.54,197.98,674.09,10.44,104.73,2.68,0
7.24,415.42,99.93,2.32,319.78,116.59,4.67,40.44,2.75,0
6.79,620.29,248.74,4.19,290.74,910.91,6.4,88.61,1.52,0
6.87,344.35,151.31,4.02,497.6,2354.27,0.02,19.18,4.56,0
9.55,1080.47,939.11,0.25,294.53,1250.12,9.04,88.03,1.67,0
8.24,427.64,392.59,0.91,258.26,1538.64,5.07,128.01,3.65,0
6.7,414.87,161.2,1.75,329.51,2117.53,3.05,121.36,9.94,0
7.72,256.06,998.04,4.23,197.38,417.92,11.48,112.85,0.97,0
7.58,425.74,207.3,1.33,563.64,2041.46,6.6,0.57,2.62,0
8.13,199.04,691.64,4.41,89.21,2431.24,10.32,111.21,1.57,0
6.34,276.97,99.3,3.77,363.03,182.54,6.69,57.9,10.72,0
5.86,75.44,244.06,3.52,655.55,127.74,9.0,46.98,1.77,0
6.26,711.67,966.85,2.28,116.52,870.31,2.95,34.48,4.81,0
7.97,204.28,167.52,4.13,123.66,2398.42,11.99,109.6,2.45,0
6.75,172.84,84.77,3.23,313.27,553.32,0.29,7.84,3.8,1
9.99,66.93,119.54,2.96,65.04,1600.21,5.13,4.78,5.29,0
7.15,985.1,449.13,2.46,113.1,1719.5,1.64,72.04,5.01,0
7.36,203.58,232.59,3.9,285.08,1210.71,8.65,24.01,5.04,0
6.65,409.54,88.73,2.95,205.46,2210.77,6.0,32.69,2.43,0
6.32,174.32,233.44,3.81,392.18,935.37,8.06,100.52,3.71,0
8.3,219.57,339.42,0.25,568.88,932.42,5.11,23.69,1.46,0
6.71,270.07,297.69,3.74,308.58,2113.85,10.33,29.33,2.81,0
6.73,1054.85,32.83,0.85,134.75,192.05,8.52,136.59,4.39,0
7.24,196.6,268.23,2.9,159.2,467.11,0.4,100.68,1.16,0
7.06,151.72,327.36,7.97,304.18,1861.07,4.02,9.22,2.11,0
7.28,86.5,234.11,4.34,223.58,2419.01,8.31,90.99,1.96,0
6.37,259.81,175.16,3.84,383.21,358.13,2.51,127.43,1.5,0
6.75,383.37,133.11,8.49,296.86,948.37,4.91,6.76,1.93,0
6.5,78.32,,4.2,357.38,2279.02,10.8,77.33,2.19,0
7.41,141.91,223.59,4.36,175.79,2414.88,10.65,203.99,3.66,0
5.01,796.68,376.85,4.23,168.17,351.46,2.76,189.14,3.94,0
8.22,194.1,171.41,1.67,193.34,688.74,4.11,115.18,1.03,0
6.56,476.99,189.25,0.72,364.08,292.73,4.09,184.15,3.91,0
8.29,277.48,255.91,3.35,83.77,2325.71,4.02,114.32,1.43,0
8.27,306.93,981.95,1.18,452.53,2060.49,1.25,61.92,2.5,0
6.91,325.57,293.76,1.63,139.76,2506.91,8.82,98.88,0.25,0
6.06,415.02,397.61,0.44,95.72,552.99,8.42,128.33,1.37,0
8.14,369.11,115.16,0.67,334.13,440.21,9.46,9.27,4.93,1
7.46,422.15,793.54,4.3,375.66,999.43,7.29,88.07,4.96,0
5.82,420.22,756.57,0.48,75.7,2335.49,3.33,55.83,13.67,0
7.9,366.15,241.54,1.64,104.65,2788.72,9.91,125.6,0.5,0
7.27,179.95,271.83,4.05,12.15,1496.01,6.62,77.73,3.25,0
8.37,555.67,256.06,4.23,168.17,2224.0,3.91,115.78,1.05,0
6.47,69.32,776.41,7.84,268.54,743.6,11.66,38.46,5.15,0
7.47,534.22,206.01,3.68,234.49,572.45,2.87,99.13,0.32,0
6.2,885.76,978.09,4.12,293.41,2426.67,4.91,21.17,8.85,0
7.77,279.36,117.88,1.94,545.06,1431.44,9.51,29.2,0.91,0
8.49,270.6,321.32,6.52,55.07,1500.88,11.16,40.14,4.83,0
6.6,548.52,526.15,1.68,207.73,,11.35,15.42,5.39,0
6.29,389.71,84.11,4.2,283.75,37316.23,8.16,108.41,1.65,0
9.39,360.83,182.65,3.33,355.96,591.47,8.16,76.85,4.04,0
8.26,168.53,64.83,0.2,264.45,2565.78,3.8,35.24,3.31,0
6.92,70.79,292.28,4.08,323.07,679.56,8.39,114.44,5.0,0
7.35,244.11,201.54,7.87,169.42,1685.41,1.39,66.51,4.05,0
5.19,113.45,387.3,0.73,223.79,902.74,4.3,120.19,1.86,0
7.38,211.75,902.24,0.96,195.02,297.04,10.32,61.43,1.32,0
7.01,341.14,149.8,2.39,190.59,1565.16,6.51,76.76,1.77,1
7.21,738.53,282.98,1.27,174.97,1788.6,2.11,93.14,2.8,0
7.53,209.07,944.07,2.97,67.01,201.08,6.21,156.57,0.18,0
7.26,203.45,495.33,3.26,168.07,4005.51,10.98,112.74,4.29,0
8.33,951.95,1087.59,8.83,499.62,1601.52,0.21,20.04,1.56,0
6.46,382.73,44.19,0.45,307.22,2214.36,5.17,41.12,4.24,0
6.26,271.13,172.94,7.08,160.84,1798.4,7.64,37.55,5.2,0
7.87,181.13,178.82,4.41,358.11,2693.99,9.34,62.42,1.24,0
7.95,792.07,366.39,1.73,328.62,2569.49,10.8,88.57,1.92,0
6.6,258.08,316.39,2.78,62.73,64.97,8.34,112.1,0.56,0
7.25,290.0,636.93,2.01,90.67,39.7,8.02,64.0,3.75,0
7.75,410.56,133.21,0.6,375.62,822.66,3.19,35.72,3.84,0
6.93,300.24,122.09,3.02,265.65,2775.22,1.39,45.34,1.44,0
7.04,378.48,136.73,3.29,384.46,2576.05,3.61,80.22,1.98,0
7.45,283.6,912.16,3.13,389.95,2408.17,6.64,171.73,4.0,0
7.77,364.5,305.21,0.88,61.22,2185.1,8.47,129.67,4.88,0
6.46,1056.26,86.13,3.32,204.92,1522.28,10.92,120.9,4.48,0
8.3,299.64,298.62,8.56,39.7,81.35,8.28,34.01,3.44,0
8.01,368.43,,3.88,57.1,1260.12,3.48,109.01,4.24,0
